LT,MT,RT,LM,MM,RM,LB,MB,RB,Result
x,x,x,b,0,x,0,0,b,positive
x,x,x,b,0,x,0,b,0,positive
x,x,x,b,0,x,b,0,0,positive
x,x,x,b,0,0,x,0,b,positive
x,x,x,b,0,0,x,b,0,positive
x,x,x,b,0,0,0,x,b,positive
x,x,x,b,0,0,0,b,x,positive
x,x,x,b,0,0,b,x,0,positive
x,x,x,b,0,0,b,0,x,positive
x,x,x,b,0,0,b,b,b,positive
x,x,x,b,0,b,x,0,0,positive
x,x,x,b,0,b,0,x,0,positive
x,x,x,b,0,b,0,0,x,positive
x,x,x,b,0,b,0,b,b,positive
x,x,x,b,0,b,b,0,b,positive
x,x,x,b,0,b,b,b,0,positive
x,x,x,b,b,0,x,0,0,positive
x,x,x,b,b,0,0,x,0,positive
x,x,x,b,b,0,0,0,x,positive
x,x,x,b,b,0,0,b,b,positive
x,x,x,b,b,0,b,0,b,positive
x,x,x,b,b,0,b,b,0,positive
x,x,x,b,b,b,0,0,b,positive
x,x,x,b,b,b,0,b,0,positive
x,x,x,b,b,b,b,0,0,positive
x,x,0,x,x,0,0,0,x,positive
x,x,0,x,0,x,x,0,0,positive
x,x,0,x,0,0,x,0,x,positive
x,x,0,x,0,0,x,b,b,positive
x,x,0,x,0,b,x,0,b,positive
x,x,0,x,0,b,x,b,0,positive
x,x,0,x,b,0,x,0,b,positive
x,x,0,x,b,b,x,0,0,positive
x,x,0,0,x,x,0,x,0,positive
x,x,0,0,x,x,0,0,x,positive
x,x,0,0,x,0,x,0,x,positive
x,x,0,0,x,0,0,x,x,positive
x,x,0,0,x,0,b,x,b,positive
x,x,0,0,x,0,b,b,x,positive
x,x,0,0,x,b,0,x,b,positive
x,x,0,0,x,b,0,b,x,positive
x,x,0,0,x,b,b,x,0,positive
x,x,0,0,x,b,b,0,x,positive
x,x,0,b,x,0,0,x,b,positive
x,x,0,b,x,0,0,b,x,positive
x,x,0,b,x,0,b,0,x,positive
x,x,0,b,x,b,0,x,0,positive
x,x,0,b,x,b,0,0,x,positive
x,x,b,x,0,0,x,0,b,positive
x,x,b,x,0,0,x,b,0,positive
x,x,b,x,0,b,x,0,0,positive
x,x,b,x,b,0,x,0,0,positive
x,x,b,0,x,0,0,x,b,positive
x,x,b,0,x,0,0,b,x,positive
x,x,b,0,x,0,b,x,0,positive
x,x,b,0,x,0,b,0,x,positive
x,x,b,0,x,b,0,x,0,positive
x,x,b,0,x,b,0,0,x,positive
x,x,b,b,x,0,0,x,0,positive
x,x,b,b,x,0,0,0,x,positive
x,0,x,x,x,0,x,0,0,positive
x,0,x,x,x,0,0,0,x,positive
x,0,x,x,0,0,x,x,0,positive
x,0,x,x,0,0,x,b,b,positive
x,0,x,x,0,b,x,b,0,positive
x,0,x,x,b,0,x,0,b,positive
x,0,x,x,b,0,x,b,0,positive
x,0,x,x,b,b,x,0,0,positive
x,0,x,0,x,x,x,0,0,positive
x,0,x,0,x,x,0,0,x,positive
x,0,x,0,x,0,x,x,0,positive
x,0,x,0,x,0,x,0,x,positive
x,0,x,0,x,0,x,b,b,positive
x,0,x,0,x,0,0,x,x,positive
x,0,x,0,x,0,b,b,x,positive
x,0,x,0,x,b,x,0,b,positive
x,0,x,0,x,b,x,b,0,positive
x,0,x,0,x,b,0,b,x,positive
x,0,x,0,x,b,b,0,x,positive
x,0,x,0,0,x,0,x,x,positive
x,0,x,0,0,x,b,b,x,positive
x,0,x,0,b,x,0,b,x,positive
x,0,x,0,b,x,b,0,x,positive
x,0,x,b,x,0,x,0,b,positive
x,0,x,b,x,0,x,b,0,positive
x,0,x,b,x,0,0,b,x,positive
x,0,x,b,x,0,b,0,x,positive
x,0,x,b,x,b,x,0,0,positive
x,0,x,b,x,b,0,0,x,positive
x,0,x,b,0,x,0,b,x,positive
x,0,x,b,b,x,0,0,x,positive
x,0,0,x,x,x,x,0,0,positive
x,0,0,x,x,x,0,x,0,positive
x,0,0,x,x,x,0,0,x,positive
x,0,0,x,x,x,0,b,b,positive
x,0,0,x,x,x,b,0,b,positive
x,0,0,x,x,x,b,b,0,positive
x,0,0,x,x,0,x,0,x,positive
x,0,0,x,x,0,x,b,b,positive
x,0,0,x,x,0,0,x,x,positive
x,0,0,x,x,0,b,b,x,positive
x,0,0,x,x,b,x,0,b,positive
x,0,0,x,x,b,x,b,0,positive
x,0,0,x,x,b,0,b,x,positive
x,0,0,x,x,b,b,0,x,positive
x,0,0,x,0,x,x,x,0,positive
x,0,0,x,0,x,x,b,b,positive
x,0,0,x,0,0,x,x,x,positive
x,0,0,x,0,b,x,x,b,positive
x,0,0,x,0,b,x,b,x,positive
x,0,0,x,b,x,x,0,b,positive
x,0,0,x,b,x,x,b,0,positive
x,0,0,x,b,0,x,x,b,positive
x,0,0,x,b,0,x,b,x,positive
x,0,0,x,b,b,x,x,0,positive
x,0,0,x,b,b,x,0,x,positive
x,0,0,x,b,b,x,b,b,positive
x,0,0,0,x,x,x,0,x,positive
x,0,0,0,x,x,0,x,x,positive
x,0,0,0,x,x,b,b,x,positive
x,0,0,0,x,0,x,x,x,positive
x,0,0,0,x,b,x,b,x,positive
x,0,0,0,x,b,b,x,x,positive
x,0,0,0,0,x,x,x,x,positive
x,0,0,0,b,b,x,x,x,positive
x,0,0,b,x,x,0,b,x,positive
x,0,0,b,x,x,b,0,x,positive
x,0,0,b,x,0,x,b,x,positive
x,0,0,b,x,0,b,x,x,positive
x,0,0,b,x,b,x,0,x,positive
x,0,0,b,x,b,0,x,x,positive
x,0,0,b,x,b,b,b,x,positive
x,0,0,b,0,b,x,x,x,positive
x,0,0,b,b,0,x,x,x,positive
x,0,b,x,x,x,0,0,b,positive
x,0,b,x,x,x,0,b,0,positive
x,0,b,x,x,x,b,0,0,positive
x,0,b,x,x,0,x,0,b,positive
x,0,b,x,x,0,x,b,0,positive
x,0,b,x,x,0,0,b,x,positive
x,0,b,x,x,0,b,0,x,positive
x,0,b,x,x,b,x,0,0,positive
x,0,b,x,x,b,0,0,x,positive
x,0,b,x,0,x,x,b,0,positive
x,0,b,x,0,0,x,x,b,positive
x,0,b,x,0,0,x,b,x,positive
x,0,b,x,0,b,x,x,0,positive
x,0,b,x,0,b,x,b,b,positive
x,0,b,x,b,x,x,0,0,positive
x,0,b,x,b,0,x,x,0,positive
x,0,b,x,b,0,x,0,x,positive
x,0,b,x,b,0,x,b,b,positive
x,0,b,x,b,b,x,0,b,positive
x,0,b,x,b,b,x,b,0,positive
x,0,b,0,x,x,0,b,x,positive
x,0,b,0,x,x,b,0,x,positive
x,0,b,0,x,0,x,b,x,positive
x,0,b,0,x,0,b,x,x,positive
x,0,b,0,x,b,x,0,x,positive
x,0,b,0,x,b,0,x,x,positive
x,0,b,0,x,b,b,b,x,positive
x,0,b,0,0,b,x,x,x,positive
x,0,b,0,b,0,x,x,x,positive
x,0,b,b,x,x,0,0,x,positive
x,0,b,b,x,0,x,0,x,positive
x,0,b,b,x,0,0,x,x,positive
x,0,b,b,x,0,b,b,x,positive
x,0,b,b,x,b,0,b,x,positive
x,0,b,b,x,b,b,0,x,positive
x,0,b,b,0,0,x,x,x,positive
x,b,x,x,0,0,x,0,b,positive
x,b,x,x,0,0,x,b,0,positive
x,b,x,x,0,b,x,0,0,positive
x,b,x,x,b,0,x,0,0,positive
x,b,x,0,x,0,x,0,b,positive
x,b,x,0,x,0,x,b,0,positive
x,b,x,0,x,0,0,b,x,positive
x,b,x,0,x,0,b,0,x,positive
x,b,x,0,x,b,x,0,0,positive
x,b,x,0,x,b,0,0,x,positive
x,b,x,0,0,x,0,b,x,positive
x,b,x,0,0,x,b,0,x,positive
x,b,x,0,b,x,0,0,x,positive
x,b,x,b,x,0,x,0,0,positive
x,b,x,b,x,0,0,0,x,positive
x,b,x,b,0,x,0,0,x,positive
x,b,0,x,x,x,0,0,b,positive
x,b,0,x,x,x,0,b,0,positive
x,b,0,x,x,x,b,0,0,positive
x,b,0,x,x,0,x,0,b,positive
x,b,0,x,x,0,0,b,x,positive
x,b,0,x,x,0,b,0,x,positive
x,b,0,x,x,b,x,0,0,positive
x,b,0,x,x,b,0,0,x,positive
x,b,0,x,0,x,x,0,b,positive
x,b,0,x,0,x,x,b,0,positive
x,b,0,x,0,0,x,x,b,positive
x,b,0,x,0,0,x,b,x,positive
x,b,0,x,0,b,x,x,0,positive
x,b,0,x,0,b,x,0,x,positive
x,b,0,x,0,b,x,b,b,positive
x,b,0,x,b,x,x,0,0,positive
x,b,0,x,b,0,x,0,x,positive
x,b,0,x,b,0,x,b,b,positive
x,b,0,x,b,b,x,0,b,positive
x,b,0,x,b,b,x,b,0,positive
x,b,0,0,x,x,0,b,x,positive
x,b,0,0,x,x,b,0,x,positive
x,b,0,0,x,0,x,b,x,positive
x,b,0,0,x,0,b,x,x,positive
x,b,0,0,x,b,x,0,x,positive
x,b,0,0,x,b,0,x,x,positive
x,b,0,0,x,b,b,b,x,positive
x,b,0,0,0,b,x,x,x,positive
x,b,0,0,b,0,x,x,x,positive
x,b,0,b,x,x,0,0,x,positive
x,b,0,b,x,0,x,0,x,positive
x,b,0,b,x,0,0,x,x,positive
x,b,0,b,x,0,b,b,x,positive
x,b,0,b,x,b,0,b,x,positive
x,b,0,b,x,b,b,0,x,positive
x,b,0,b,0,0,x,x,x,positive
x,b,b,x,x,0,x,0,0,positive
x,b,b,x,x,0,0,0,x,positive
x,b,b,x,0,x,x,0,0,positive
x,b,b,x,0,0,x,x,0,positive
x,b,b,x,0,0,x,0,x,positive
x,b,b,x,0,0,x,b,b,positive
x,b,b,x,0,b,x,0,b,positive
x,b,b,x,0,b,x,b,0,positive
x,b,b,x,b,0,x,0,b,positive
x,b,b,x,b,0,x,b,0,positive
x,b,b,x,b,b,x,0,0,positive
x,b,b,0,x,x,0,0,x,positive
x,b,b,0,x,0,x,0,x,positive
x,b,b,0,x,0,0,x,x,positive
x,b,b,0,x,0,b,b,x,positive
x,b,b,0,x,b,0,b,x,positive
x,b,b,0,x,b,b,0,x,positive
x,b,b,b,x,0,0,b,x,positive
x,b,b,b,x,0,b,0,x,positive
x,b,b,b,x,b,0,0,x,positive
0,x,x,x,x,0,x,0,0,positive
0,x,x,x,x,0,0,x,0,positive
0,x,x,x,0,x,0,0,x,positive
0,x,x,0,x,x,x,0,0,positive
0,x,x,0,x,0,x,x,0,positive
0,x,x,0,x,0,x,0,x,positive
0,x,x,0,x,0,x,b,b,positive
0,x,x,0,x,0,b,x,b,positive
0,x,x,0,x,b,x,0,b,positive
0,x,x,0,x,b,x,b,0,positive
0,x,x,0,x,b,b,x,0,positive
0,x,x,0,0,x,x,0,x,positive
0,x,x,0,0,x,b,b,x,positive
0,x,x,0,b,x,b,0,x,positive
0,x,x,b,x,0,x,0,b,positive
0,x,x,b,x,0,x,b,0,positive
0,x,x,b,x,0,0,x,b,positive
0,x,x,b,x,0,b,x,0,positive
0,x,x,b,x,b,x,0,0,positive
0,x,x,b,x,b,0,x,0,positive
0,x,x,b,0,x,0,b,x,positive
0,x,x,b,0,x,b,0,x,positive
0,x,x,b,b,x,0,0,x,positive
0,x,0,x,x,x,x,0,0,positive
0,x,0,x,x,x,0,x,0,positive
0,x,0,x,x,x,0,0,x,positive
0,x,0,x,x,x,0,b,b,positive
0,x,0,x,x,x,b,0,b,positive
0,x,0,x,x,x,b,b,0,positive
0,x,0,x,x,0,0,x,x,positive
0,x,0,x,x,0,b,x,b,positive
0,x,0,x,x,b,0,x,b,positive
0,x,0,x,x,b,b,x,0,positive
0,x,0,x,0,0,x,x,x,positive
0,x,0,0,x,x,x,x,0,positive
0,x,0,0,x,x,b,x,b,positive
0,x,0,0,x,0,x,x,x,positive
0,x,0,0,x,b,x,x,b,positive
0,x,0,0,x,b,b,x,x,positive
0,x,0,0,0,x,x,x,x,positive
0,x,0,0,b,b,x,x,x,positive
0,x,0,b,x,x,0,x,b,positive
0,x,0,b,x,x,b,x,0,positive
0,x,0,b,x,0,x,x,b,positive
0,x,0,b,x,0,b,x,x,positive
0,x,0,b,x,b,x,x,0,positive
0,x,0,b,x,b,0,x,x,positive
0,x,0,b,x,b,b,x,b,positive
0,x,0,b,0,b,x,x,x,positive
0,x,0,b,b,0,x,x,x,positive
0,x,b,x,x,x,0,0,b,positive
0,x,b,x,x,x,0,b,0,positive
0,x,b,x,x,x,b,0,0,positive
0,x,b,x,x,0,0,x,b,positive
0,x,b,x,x,0,b,x,0,positive
0,x,b,x,x,b,0,x,0,positive
0,x,b,0,x,x,b,x,0,positive
0,x,b,0,x,0,x,x,b,positive
0,x,b,0,x,0,b,x,x,positive
0,x,b,0,x,b,x,x,0,positive
0,x,b,0,x,b,b,x,b,positive
0,x,b,0,0,b,x,x,x,positive
0,x,b,0,b,0,x,x,x,positive
0,x,b,b,x,x,0,x,0,positive
0,x,b,b,x,0,x,x,0,positive
0,x,b,b,x,0,0,x,x,positive
0,x,b,b,x,0,b,x,b,positive
0,x,b,b,x,b,0,x,b,positive
0,x,b,b,x,b,b,x,0,positive
0,x,b,b,0,0,x,x,x,positive
0,0,x,x,x,x,x,0,0,positive
0,0,x,x,x,x,0,x,0,positive
0,0,x,x,x,x,0,0,x,positive
0,0,x,x,x,x,0,b,b,positive
0,0,x,x,x,x,b,0,b,positive
0,0,x,x,x,x,b,b,0,positive
0,0,x,x,x,0,x,x,0,positive
0,0,x,x,x,0,x,0,x,positive
0,0,x,x,x,0,x,b,b,positive
0,0,x,x,x,b,x,0,b,positive
0,0,x,x,x,b,x,b,0,positive
0,0,x,x,0,x,0,x,x,positive
0,0,x,x,0,x,b,b,x,positive
0,0,x,x,0,0,x,x,x,positive
0,0,x,x,b,x,0,b,x,positive
0,0,x,x,b,x,b,0,x,positive
0,0,x,0,x,x,x,x,0,positive
0,0,x,0,x,x,x,0,x,positive
0,0,x,0,x,x,x,b,b,positive
0,0,x,0,x,x,b,b,x,positive
0,0,x,0,x,0,x,x,x,positive
0,0,x,0,x,b,x,x,b,positive
0,0,x,0,x,b,x,b,x,positive
0,0,x,0,0,x,x,x,x,positive
0,0,x,0,b,x,x,b,x,positive
0,0,x,0,b,x,b,x,x,positive
0,0,x,0,b,b,x,x,x,positive
0,0,x,b,x,x,x,0,b,positive
0,0,x,b,x,x,x,b,0,positive
0,0,x,b,x,x,0,b,x,positive
0,0,x,b,x,x,b,0,x,positive
0,0,x,b,x,0,x,x,b,positive
0,0,x,b,x,0,x,b,x,positive
0,0,x,b,x,b,x,x,0,positive
0,0,x,b,x,b,x,0,x,positive
0,0,x,b,x,b,x,b,b,positive
0,0,x,b,0,x,x,b,x,positive
0,0,x,b,0,x,b,x,x,positive
0,0,x,b,0,b,x,x,x,positive
0,0,x,b,b,x,x,0,x,positive
0,0,x,b,b,x,0,x,x,positive
0,0,x,b,b,x,b,b,x,positive
0,0,x,b,b,0,x,x,x,positive
0,0,b,x,x,x,x,0,b,positive
0,0,b,x,x,x,x,b,0,positive
0,0,b,x,x,x,0,x,b,positive
0,0,b,x,x,x,0,b,x,positive
0,0,b,x,x,x,b,x,0,positive
0,0,b,x,x,x,b,0,x,positive
0,0,b,x,x,x,b,b,b,positive
0,0,b,x,0,b,x,x,x,positive
0,0,b,x,b,0,x,x,x,positive
0,0,b,0,x,b,x,x,x,positive
0,0,b,0,b,x,x,x,x,positive
0,0,b,b,x,0,x,x,x,positive
0,0,b,b,0,x,x,x,x,positive
0,0,b,b,b,b,x,x,x,positive
0,b,x,x,x,x,0,0,b,positive
0,b,x,x,x,x,0,b,0,positive
0,b,x,x,x,x,b,0,0,positive
0,b,x,x,x,0,x,0,b,positive
0,b,x,x,x,0,x,b,0,positive
0,b,x,x,x,b,x,0,0,positive
0,b,x,x,0,x,0,b,x,positive
0,b,x,x,0,x,b,0,x,positive
0,b,x,x,b,x,0,0,x,positive
0,b,x,0,x,x,x,0,b,positive
0,b,x,0,x,x,x,b,0,positive
0,b,x,0,x,x,b,0,x,positive
0,b,x,0,x,0,x,x,b,positive
0,b,x,0,x,0,x,b,x,positive
0,b,x,0,x,b,x,x,0,positive
0,b,x,0,x,b,x,0,x,positive
0,b,x,0,x,b,x,b,b,positive
0,b,x,0,0,x,x,b,x,positive
0,b,x,0,0,x,b,x,x,positive
0,b,x,0,0,b,x,x,x,positive
0,b,x,0,b,x,x,0,x,positive
0,b,x,0,b,x,b,b,x,positive
0,b,x,0,b,0,x,x,x,positive
0,b,x,b,x,x,x,0,0,positive
0,b,x,b,x,x,0,0,x,positive
0,b,x,b,x,0,x,x,0,positive
0,b,x,b,x,0,x,0,x,positive
0,b,x,b,x,0,x,b,b,positive
0,b,x,b,x,b,x,0,b,positive
0,b,x,b,x,b,x,b,0,positive
0,b,x,b,0,x,x,0,x,positive
0,b,x,b,0,x,0,x,x,positive
0,b,x,b,0,x,b,b,x,positive
0,b,x,b,0,0,x,x,x,positive
0,b,x,b,b,x,0,b,x,positive
0,b,x,b,b,x,b,0,x,positive
0,b,0,x,x,x,x,0,b,positive
0,b,0,x,x,x,x,b,0,positive
0,b,0,x,x,x,0,x,b,positive
0,b,0,x,x,x,0,b,x,positive
0,b,0,x,x,x,b,x,0,positive
0,b,0,x,x,x,b,0,x,positive
0,b,0,x,x,x,b,b,b,positive
0,b,0,x,0,b,x,x,x,positive
0,b,0,x,b,0,x,x,x,positive
0,b,0,0,x,b,x,x,x,positive
0,b,0,0,b,x,x,x,x,positive
0,b,0,b,x,0,x,x,x,positive
0,b,0,b,0,x,x,x,x,positive
0,b,0,b,b,b,x,x,x,positive
0,b,b,x,x,x,x,0,0,positive
0,b,b,x,x,x,0,x,0,positive
0,b,b,x,x,x,0,0,x,positive
0,b,b,x,x,x,0,b,b,positive
0,b,b,x,x,x,b,0,b,positive
0,b,b,x,x,x,b,b,0,positive
0,b,b,x,0,0,x,x,x,positive
0,b,b,0,x,0,x,x,x,positive
0,b,b,0,0,x,x,x,x,positive
0,b,b,0,b,b,x,x,x,positive
0,b,b,b,0,b,x,x,x,positive
0,b,b,b,b,0,x,x,x,positive
b,x,x,0,x,0,x,0,b,positive
b,x,x,0,x,0,x,b,0,positive
b,x,x,0,x,0,0,x,b,positive
b,x,x,0,x,0,b,x,0,positive
b,x,x,0,x,b,x,0,0,positive
b,x,x,0,x,b,0,x,0,positive
b,x,x,0,0,x,0,b,x,positive
b,x,x,0,0,x,b,0,x,positive
b,x,x,0,b,x,0,0,x,positive
b,x,x,b,x,0,x,0,0,positive
b,x,x,b,x,0,0,x,0,positive
b,x,x,b,0,x,0,0,x,positive
b,x,0,x,x,x,0,0,b,positive
b,x,0,x,x,x,0,b,0,positive
b,x,0,x,x,x,b,0,0,positive
b,x,0,x,x,0,0,x,b,positive
b,x,0,x,x,b,0,x,0,positive
b,x,0,0,x,x,0,x,b,positive
b,x,0,0,x,x,b,x,0,positive
b,x,0,0,x,0,x,x,b,positive
b,x,0,0,x,0,b,x,x,positive
b,x,0,0,x,b,x,x,0,positive
b,x,0,0,x,b,0,x,x,positive
b,x,0,0,x,b,b,x,b,positive
b,x,0,0,0,b,x,x,x,positive
b,x,0,0,b,0,x,x,x,positive
b,x,0,b,x,x,0,x,0,positive
b,x,0,b,x,0,0,x,x,positive
b,x,0,b,x,0,b,x,b,positive
b,x,0,b,x,b,0,x,b,positive
b,x,0,b,x,b,b,x,0,positive
b,x,0,b,0,0,x,x,x,positive
b,x,b,x,x,0,0,x,0,positive
b,x,b,0,x,x,0,x,0,positive
b,x,b,0,x,0,x,x,0,positive
b,x,b,0,x,0,0,x,x,positive
b,x,b,0,x,0,b,x,b,positive
b,x,b,0,x,b,0,x,b,positive
b,x,b,0,x,b,b,x,0,positive
b,x,b,b,x,0,0,x,b,positive
b,x,b,b,x,0,b,x,0,positive
b,x,b,b,x,b,0,x,0,positive
b,0,x,x,x,x,0,0,b,positive
b,0,x,x,x,x,0,b,0,positive
b,0,x,x,x,x,b,0,0,positive
b,0,x,x,x,0,x,0,b,positive
b,0,x,x,x,0,x,b,0,positive
b,0,x,x,x,b,x,0,0,positive
b,0,x,x,0,x,0,b,x,positive
b,0,x,x,b,x,0,0,x,positive
b,0,x,0,x,x,x,0,b,positive
b,0,x,0,x,x,x,b,0,positive
b,0,x,0,x,x,0,b,x,positive
b,0,x,0,x,x,b,0,x,positive
b,0,x,0,x,0,x,x,b,positive
b,0,x,0,x,0,x,b,x,positive
b,0,x,0,x,b,x,x,0,positive
b,0,x,0,x,b,x,0,x,positive
b,0,x,0,x,b,x,b,b,positive
b,0,x,0,0,x,x,b,x,positive
b,0,x,0,0,x,b,x,x,positive
b,0,x,0,0,b,x,x,x,positive
b,0,x,0,b,x,x,0,x,positive
b,0,x,0,b,x,0,x,x,positive
b,0,x,0,b,x,b,b,x,positive
b,0,x,0,b,0,x,x,x,positive
b,0,x,b,x,x,x,0,0,positive
b,0,x,b,x,x,0,0,x,positive
b,0,x,b,x,0,x,x,0,positive
b,0,x,b,x,0,x,0,x,positive
b,0,x,b,x,0,x,b,b,positive
b,0,x,b,x,b,x,0,b,positive
b,0,x,b,x,b,x,b,0,positive
b,0,x,b,0,x,0,x,x,positive
b,0,x,b,0,x,b,b,x,positive
b,0,x,b,0,0,x,x,x,positive
b,0,x,b,b,x,0,b,x,positive
b,0,x,b,b,x,b,0,x,positive
b,0,0,x,x,x,x,0,b,positive
b,0,0,x,x,x,x,b,0,positive
b,0,0,x,x,x,0,x,b,positive
b,0,0,x,x,x,0,b,x,positive
b,0,0,x,x,x,b,x,0,positive
b,0,0,x,x,x,b,0,x,positive
b,0,0,x,x,x,b,b,b,positive
b,0,0,x,0,b,x,x,x,positive
b,0,0,x,b,0,x,x,x,positive
b,0,0,0,x,b,x,x,x,positive
b,0,0,0,b,x,x,x,x,positive
b,0,0,b,x,0,x,x,x,positive
b,0,0,b,0,x,x,x,x,positive
b,0,0,b,b,b,x,x,x,positive
b,0,b,x,x,x,x,0,0,positive
b,0,b,x,x,x,0,x,0,positive
b,0,b,x,x,x,0,0,x,positive
b,0,b,x,x,x,0,b,b,positive
b,0,b,x,x,x,b,0,b,positive
b,0,b,x,x,x,b,b,0,positive
b,0,b,x,0,0,x,x,x,positive
b,0,b,0,x,0,x,x,x,positive
b,0,b,0,0,x,x,x,x,positive
b,0,b,0,b,b,x,x,x,positive
b,0,b,b,0,b,x,x,x,positive
b,0,b,b,b,0,x,x,x,positive
b,b,x,x,x,0,x,0,0,positive
b,b,x,x,0,x,0,0,x,positive
b,b,x,0,x,x,x,0,0,positive
b,b,x,0,x,x,0,0,x,positive
b,b,x,0,x,0,x,x,0,positive
b,b,x,0,x,0,x,0,x,positive
b,b,x,0,x,0,x,b,b,positive
b,b,x,0,x,b,x,0,b,positive
b,b,x,0,x,b,x,b,0,positive
b,b,x,0,0,x,x,0,x,positive
b,b,x,0,0,x,0,x,x,positive
b,b,x,0,0,x,b,b,x,positive
b,b,x,0,b,x,0,b,x,positive
b,b,x,0,b,x,b,0,x,positive
b,b,x,b,x,0,x,0,b,positive
b,b,x,b,x,0,x,b,0,positive
b,b,x,b,x,b,x,0,0,positive
b,b,x,b,0,x,0,b,x,positive
b,b,x,b,0,x,b,0,x,positive
b,b,x,b,b,x,0,0,x,positive
b,b,0,x,x,x,x,0,0,positive
b,b,0,x,x,x,0,x,0,positive
b,b,0,x,x,x,0,0,x,positive
b,b,0,x,x,x,0,b,b,positive
b,b,0,x,x,x,b,0,b,positive
b,b,0,x,x,x,b,b,0,positive
b,b,0,x,0,0,x,x,x,positive
b,b,0,0,x,0,x,x,x,positive
b,b,0,0,0,x,x,x,x,positive
b,b,0,0,b,b,x,x,x,positive
b,b,0,b,0,b,x,x,x,positive
b,b,0,b,b,0,x,x,x,positive
b,b,b,x,x,x,0,0,b,positive
b,b,b,x,x,x,0,b,0,positive
b,b,b,x,x,x,b,0,0,positive
b,b,b,0,0,b,x,x,x,positive
b,b,b,0,b,0,x,x,x,positive
b,b,b,b,0,0,x,x,x,positive
x,x,0,x,x,0,0,b,0,negative
x,x,0,x,x,0,b,0,0,negative
x,x,0,x,x,b,0,0,0,negative
x,x,0,x,0,x,0,0,b,negative
x,x,0,x,0,x,0,b,0,negative
x,x,0,x,0,0,0,x,b,negative
x,x,0,x,0,0,0,b,x,negative
x,x,0,x,0,0,b,x,0,negative
x,x,0,x,0,b,0,x,0,negative
x,x,0,x,0,b,0,0,x,negative
x,x,0,x,0,b,0,b,b,negative
x,x,0,x,b,x,0,0,0,negative
x,x,0,x,b,0,0,x,0,negative
x,x,0,x,b,0,b,b,0,negative
x,x,0,0,x,0,x,b,0,negative
x,x,0,0,0,x,0,x,b,negative
x,x,0,0,0,x,0,b,x,negative
x,x,0,0,0,0,x,x,b,negative
x,x,0,0,0,0,x,b,x,negative
x,x,0,0,0,0,b,x,x,negative
x,x,0,0,0,b,0,x,x,negative
x,x,0,0,b,0,x,x,0,negative
x,x,0,b,x,x,0,0,0,negative
x,x,0,b,x,0,x,0,0,negative
x,x,0,b,x,0,b,b,0,negative
x,x,0,b,0,x,0,x,0,negative
x,x,0,b,0,x,0,0,x,negative
x,x,0,b,0,x,0,b,b,negative
x,x,0,b,0,0,x,x,0,negative
x,x,0,b,0,0,0,x,x,negative
x,x,0,b,0,b,0,x,b,negative
x,x,0,b,0,b,0,b,x,negative
x,x,0,b,b,0,x,b,0,negative
x,x,0,b,b,0,b,x,0,negative
x,x,b,x,x,0,0,0,0,negative
x,x,b,x,0,x,0,0,0,negative
x,x,b,x,b,b,0,0,0,negative
x,x,b,0,x,x,0,0,0,negative
